-0.344055, 0.019450, -0.017216, 0.125397
-0.717987, 0.027265, -0.016217, 0.119132
0.265106, 0.035549, -0.015527, 0.115809
-0.646255, 0.042714, -0.014518, 0.110027
-0.267059, 0.050641, -0.013809, 0.106474
0.609177, 0.057766, -0.012992, 0.101769
0.577438, 0.064176, -0.012153, 0.096469
0.709473, 0.069605, -0.011176, 0.090586
-0.393661, 0.018833, -0.008151, 0.125458
0.261978, 0.027078, -0.007362, 0.120871
0.140305, 0.034842, -0.006691, 0.115594
-0.117203, 0.042615, -0.005914, 0.111309
0.535461, 0.050138, -0.005266, 0.106748
0.302139, 0.057166, -0.004585, 0.101819
0.510529, 0.063769, -0.003931, 0.096824
-nan, -nan, -nan, -nan
0.406876, 0.018318, 0.001053, 0.126392
0.187607, 0.026556, 0.001665, 0.121521
0.431366, 0.034433, 0.002218, 0.116432
0.611206, 0.041893, 0.002854, 0.111216
0.700470, 0.049543, 0.003362, 0.106903
0.328400, 0.056426, 0.003899, 0.101665
0.925812, 0.064022, 0.004411, 0.098232
0.966644, 0.068942, 0.004755, 0.091418
0.585754, 0.017804, 0.010312, 0.127177
0.804962, 0.026080, 0.010703, 0.122056
0.845245, 0.033821, 0.011107, 0.116452
-nan, -nan, -nan, -nan
0.977753, 0.048911, 0.011933, 0.106771
-nan, -nan, -nan, -nan
-nan, -nan, -nan, -nan
-nan, -nan, -nan, -nan
-0.760651, 0.020565, -0.017128, 0.128160
-0.278900, 0.028546, -0.016056, 0.122735
-0.793381, 0.036852, -0.015482, 0.119433
0.375671, 0.043990, -0.014448, 0.113541
0.183685, 0.051372, -0.013645, 0.108844
-0.095840, 0.058195, -0.012745, 0.103657
0.286926, 0.065335, -0.011973, 0.099562
0.677979, 0.071298, -0.011172, 0.094376
-0.176163, 0.020131, -0.008000, 0.129029
-0.317017, 0.028463, -0.007295, 0.124916
-0.548859, 0.035837, -0.006514, 0.118236
0.292480, 0.043365, -0.005740, 0.113561
0.551239, 0.050999, -0.005178, 0.109352
0.255524, 0.058109, -0.004405, 0.104576
0.621368, 0.065092, -0.003861, 0.100219
0.902206, 0.070584, -0.003124, 0.094291
-0.244049, 0.019714, 0.001206, 0.130730
0.007370, 0.027658, 0.001751, 0.124296
0.473618, 0.035312, 0.002318, 0.118800
0.408737, 0.042834, 0.002966, 0.113880
0.557877, 0.050617, 0.003470, 0.109930
0.928741, 0.057328, 0.003966, 0.104386
-nan, -nan, -nan, -nan
-nan, -nan, -nan, -nan
